-,-,-,-,-,-,-,-,habitante,habitante,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,habitante,1.000 m³/ano,1.000 m³/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano
cod_munip,nome_munip,cod_prestador,nome_prestador,sigla_prestador,abrangencia_prestador,tipo_prestador,tipo_servico,pop_munip,pop_atendida_agua,vol_agua_anual,vol_agua_eta,vol_agua_desinfec,vol_agua_fluor,pop_atendida_esgoto,vol_esgoto_coletado,vol_esgoto_tratado,amostra_cloro,amostra_cloro_irregular,amostra_turbidez,"amostra_turbidez_irregular",amostra_coliformes,amostra_coliformes_irregular
310700,Berilo,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,11.813,4.447,"313,26","313,26",0,"295,18",2.407,"119,86",0,7.043,9,8.826,4,605,0
310710,Berizal,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.792,2.684,"192,22","83,52","108,7","192,22",,,,2.708,0,2.708,0,266,3
310720,Bertópolis,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,4.609,2.677,"151,38","127,79",0,"127,79",2.440,121,"5,3",3.988,4,3.987,2,309,2
310730,Betim,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,450.024,398.025,"40.224,28","40.224,28",0,"40.224,28",351.494,"13.215,60","13.215,60",16.137,3,16.135,32,2.474,53
310740,Bias Fortes,31068011,Prefeitura Municipal de Bias Fortes,PMBF,Local,Administração pública direta,Água e Esgoto,3.282,3.056,"126,14","126,14",0,0,3.056,"60,13",0,5,2,14,3,14,3
310750,Bicas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,14.612,12.178,"984,28","984,28",0,"984,28",,,,3.284,0,3.257,0,385,12
310760,Biquinhas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,2.482,1.632,"146,09",0,"146,09","146,09",,,,427,0,430,0,136,0
310770,Boa Esperança,31071011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,40.308,34.033,"3.507,64","3.507,64",0,"3.507,64",33.689,"1.951,60","1.951,60",626,40,626,13,626,9
310780,Bocaina de Minas,31072011,Prefeitura Municipal de Bocaina de Minas,PMBM,Local,Administração pública direta,Água e Esgoto,5.088,4.000,200,0,0,0,3.950,130,0,0,0,0,0,108,70
310790,Bocaiúva,31073011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,50.521,46.284,"3.785,00","1.982,00","1.803,00",0,41.139,"1.495,50","1.334,40",7.250,18,7.200,46,2.200,5
310800,Bom Despacho,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,51.436,46.334,"3.630,36","1.443,13","2.187,23","3.630,36",44.497,"1.849,03","1.849,03",9.424,4,9.423,0,788,7
310810,Bom Jardim de Minas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,6.444,5.024,"409,43","409,43",0,"409,43",,,,2.874,0,2.867,0,164,0
310820,Bom Jesus da Penha,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.270,3.055,"246,2",0,"246,2","246,2",,,,518,0,504,0,153,0
310825,Bom Jesus do Amparo,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,6.182,2.757,"205,88","174,66","31,22","205,88",,,,3.560,2,3.521,5,244,0
310830,Bom Jesus do Galho,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,14.792,9.681,"644,65","592,16","52,49","644,65",,,,4.674,8,4.678,5,338,0
310840,Bom Repouso,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,10.527,5.595,"406,19","406,19",0,"406,19",5.434,"244,58","244,58",3.680,9,3.663,201,141,1
310850,Bom Sucesso,31080011,Águas de Bom Sucesso Ltda,ABS,Local,Empresa privada,Água e Esgoto,17.612,17.604,"1.042,00",980,62,"1.042,00",14.480,670,670,3.960,0,3.960,0,480,0
310870,Bonfim,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,6.852,3.250,"384,84","384,84",0,"384,84",2.449,"165,58",0,3.304,1,3.305,7,112,0
310855,Bonfinópolis de Minas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.397,3.948,"304,53","304,53",0,"304,53",,,,2.905,0,2.905,0,138,0
310860,Bonito de Minas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,11.502,2.501,"171,22",0,"171,22","171,22",,,,662,0,661,0,135,1
310880,Borda da Mata,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,19.809,13.689,"796,31","796,31",0,"796,31",13.512,"447,69","447,69",4.626,3,4.609,0,380,1
310890,Botelhos,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,14.927,11.109,"831,34","792,31","39,03","831,34",7.946,"376,9",0,6.699,1,6.650,120,512,0
310900,Botumirim,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,6.259,3.067,"203,22","70,5","132,72","203,22",1.224,"42,59","42,59",2.150,2,2.150,7,440,0
310910,Brás Pires,31087011,Prefeitura Municipal de Brás Pires,PMBP,Local,Administração pública direta,Água,4.255,2.070,150,0,150,145,,,,13,7,13,9,12,5
310920,Brasilândia de Minas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,16.950,13.905,"931,54","931,54",0,"931,54",3.677,"139,45","139,45",4.581,0,4.581,0,301,4
310925,Brasília de Minas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,32.460,19.336,"975,02","975,02",0,"975,02",16.338,"504,12","504,12",4.076,1,4.076,0,410,2
310930,Braúnas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.737,1.584,"136,63",0,"136,63","136,63",,,,796,0,751,0,105,0
310940,Brazópolis,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,14.364,8.014,"794,42","701,94","92,48","794,42",,,,5.028,17,4.952,1,585,0
310945,Brumadinho,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,41.208,28.601,"2.587,66","1.281,23","1.306,43","2.587,66",17.187,"1.023,27","142,04",21.627,1,21.629,7,1.034,31
310950,Bueno Brandão,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,10.982,5.713,"351,65","351,65",0,"351,65",5.455,"203,65","203,65",4.029,3,4.000,74,104,5
310960,Buenópolis,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,10.342,6.437,"397,98","397,98",0,"397,98",5.765,"227,45","227,45",3.247,0,3.253,0,216,0
310970,Bugre,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.984,1.337,"95,29","95,29",0,"95,29",,,,392,0,373,0,126,0
310270,Buritis,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,25.179,16.220,"1.085,09","1.030,67","54,42","1.085,09",6.752,"281,62","281,62",9.014,1,9.014,1,462,3
310980,Buritizeiro,31094011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água,28.184,28.180,"2.069,70","1.951,74",0,"1.951,74",,,,3.617,0,3.613,0,554,0
310990,Cabeceira Grande,31094511,Serviço Autônomo de Saneamento de Cabeceira Grande,SANECAB,Local,Autarquia,Água,7.025,7.025,"310,17","310,17",0,0,,,,3.568,0,3.958,0,60,0
311000,Cabo Verde,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,14.074,7.907,"533,1","245,22","287,88","533,1",7.748,"293,47",0,4.235,0,4.189,0,453,0
311010,Cachoeira da Prata,31096011,Prefeitura Municipal de Cachoeira da Prata,PMCP,Local,Administração pública direta,Água e Esgoto,3.580,3.426,"226,15",0,"226,15",0,3.409,"180,92","56,08",12,6,1,1,12,2
311020,Cachoeira de Minas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,11.609,7.456,"614,42","614,42",0,"614,42",,,,6.252,0,6.207,183,341,2
311030,Cachoeira de Pajeú,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água,9.470,5.354,"267,93","267,93",0,0,,,,4.410,0,4.410,1,226,0
311040,Cachoeira Dourada,31098011,Prefeitura Municipal de Cachoeira Dourada,PMCD,Local,Administração pública direta,Água e Esgoto,2.720,2.416,140,0,0,0,2.400,140,0,1.115,0,369,62,263,0
