nome_munip,vol_esgoto_coletado,vol_esgoto_tratado,volume_esgoto_in_natura,taxa_tratamento_pct,taxa_media_estado_pct
CARMÉSIA,76.00,76.00,0.00,100.00,63.99
CARLOS CHAGAS,361.53,361.53,0.00,100.00,63.99
SÃO GERALDO DO BAIXIO,170.00,170.00,0.00,100.00,63.99
SÃO GONÇALO DO ABAETÉ,146.27,146.27,0.00,100.00,63.99
MALACACHETA,290.93,290.93,0.00,100.00,63.99
JAGUARAÇU,394.00,394.00,0.00,100.00,63.99
CAPITÃO ENÉAS,176.54,176.54,0.00,100.00,63.99
SÃO JOÃO BATISTA DO GLÓRIA,317.59,317.59,0.00,100.00,63.99
JAÍBA,277.19,277.19,0.00,100.00,63.99
LONTRA,67.94,67.94,0.00,100.00,63.99
CAMPINA VERDE,566.30,566.30,0.00,100.00,63.99
LIMEIRA DO OESTE,226.23,226.23,0.00,100.00,63.99
SÃO JOÃO DO PARAÍSO,229.83,229.83,0.00,100.00,63.99
BURITIS,281.62,281.62,0.00,100.00,63.99
BUENÓPOLIS,227.45,227.45,0.00,100.00,63.99
SÃO JOSÉ DA LAPA,693.36,693.36,0.00,100.00,63.99
BUENO BRANDÃO,203.65,203.65,0.00,100.00,63.99
SÃO JOSÉ DO DIVINO,76.93,76.93,0.00,100.00,63.99
BRASÍLIA DE MINAS,504.12,504.12,0.00,100.00,63.99
BRASILÂNDIA DE MINAS,139.45,139.45,0.00,100.00,63.99
SÃO ROMÃO,74.52,74.52,0.00,100.00,63.99
JANAÚBA,671.28,671.28,0.00,100.00,63.99
BOTUMIRIM,42.59,42.59,0.00,100.00,63.99
SÃO SEBASTIÃO DO PARAÍSO,2766.16,2766.16,0.00,100.00,63.99
BORDA DA MATA,447.69,447.69,0.00,100.00,63.99
LEME DO PRADO,72.21,72.21,0.00,100.00,63.99
BOM SUCESSO,670.00,670.00,0.00,100.00,63.99
BOM REPOUSO,244.58,244.58,0.00,100.00,63.99
BOM DESPACHO,1849.03,1849.03,0.00,100.00,63.99
JANUÁRIA,413.32,413.32,0.00,100.00,63.99
BOA ESPERANÇA,1951.60,1951.60,0.00,100.00,63.99
SENHORA DE OLIVEIRA,233.39,233.39,0.00,100.00,63.99
BETIM,13215.60,13215.60,0.00,100.00,63.99
BELO HORIZONTE,106982.96,106982.96,0.00,100.00,63.99
LAVRAS,3868.79,3868.79,0.00,100.00,63.99
JAPARAÍBA,328.83,328.83,0.00,100.00,63.99
SERRA DOS AIMORÉS,107.62,107.62,0.00,100.00,63.99
SERRO,297.15,297.15,0.00,100.00,63.99
JENIPAPO DE MINAS,102.01,102.01,0.00,100.00,63.99
ARICANDUVA,81.76,81.76,0.00,100.00,63.99
LAGOA SANTA,2122.46,2122.46,0.00,100.00,63.99
LAGOA FORMOSA,855.62,855.62,0.00,100.00,63.99
JEQUITINHONHA,418.04,418.04,0.00,100.00,63.99
TAIOBEIRAS,453.29,453.29,0.00,100.00,63.99
JOAÍMA,267.42,267.42,0.00,100.00,63.99
LAGOA DA PRATA,2723.42,2723.42,0.00,100.00,63.99
LADAINHA,181.13,181.13,0.00,100.00,63.99
JUVENÍLIA,12.88,12.88,0.00,100.00,63.99
JURAMENTO,55.11,55.11,0.00,100.00,63.99
JOSÉ GONÇALVES DE MINAS,39.14,39.14,0.00,100.00,63.99
ALMENARA,1169.82,1169.82,0.00,100.00,63.99
TRÊS MARIAS,853.83,853.83,0.00,100.00,63.99
NOVA LIMA,1269.20,1269.20,0.00,100.00,63.99
ÁGUAS VERMELHAS,122.60,122.60,0.00,100.00,63.99
INDAIABIRA,32.69,32.69,0.00,100.00,63.99
NOVA PONTE,793.76,793.76,0.00,100.00,63.99
NOVA PORTEIRINHA,62.88,62.88,0.00,100.00,63.99
