cod_munip,nome_munip,pop_munip,pop_atendida_agua,vol_agua_anual,vol_agua_eta,vol_agua_desinfec,vol_agua_fluor,pop_atendida_esgoto,vol_esgoto_coletado,vol_esgoto_tratado,amostra_cloro,amostra_cloro_irregular,amostra_turbidez,amostra_turbidez_irregular,amostra_coliformes,amostra_coliformes_irregular,,cod_prestador,nome_prestador,sigla_prestador,abrangencia_prestador,tipo_prestador,tipo_servico
310520,Bandeira,4738,2730,237.45,237.45,0.00,205.66,2120,108.61,0.00,5060,0,5060,2,325,0,,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
310530,Bandeira do Sul,5808,5808,458.00,183.00,275.00,0.00,5808,207.00,0.00,1976,0,1976,0,70,2,,31053011,"Serviço de Água, Esgoto e Limpeza Pública",SAELP,Local,Autarquia,Água e Esgoto
310540,Barão de Cocais,33232,25390,2158.59,2158.59,0.00,2158.59,,,,5665,0,5582,0,525,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310540,Barão de Cocais,33232,,,,,,33232,2782.00,0.00,,,,,,,,31054011,Prefeitura Municipal de Barão de Cocais,PMBC,Local,Administração pública direta,Esgoto
310550,Barão de Monte Alto,5311,3749,357.57,102.53,255.04,357.57,,,,1857,0,1916,1,541,7,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310560,Barbacena,139061,42674,2572.08,1286.04,1286.04,2572.08,38651,1274.88,1024.62,5210,0,5123,2,870,3,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
310560,Barbacena,139061,85074,6855.49,6068.66,786.83,5998.25,76734,2640.70,155.57,10479,2371,8559,372,4167,790,,31056011,Serviço de Água e Saneamento,SAS,Local,Autarquia,Água e Esgoto
310570,Barra Longa,4905,2118,191.25,191.25,0.00,191.25,,,,3472,0,3472,0,117,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310590,Barroso,20981,17453,1355.04,451.68,903.36,1355.04,,,,6017,34,5982,0,556,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310590,Barroso,20981,,,,,,20158,1351.19,75.00,,,,,,,,31059011,Prefeitura Municipal de Barroso,PMB,Local,Administração pública direta,Esgoto
310600,Bela Vista de Minas,10269,7925,709.97,709.97,0.00,709.97,,,,4595,0,4553,0,205,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310600,Bela Vista de Minas,10269,,,,,,9620,578.00,0.00,,,,,,,,31060011,Prefeitura Municipal de Bela Vista de Minas,PMBVM,Local,Administração pública direta,Esgoto
310610,Belmiro Braga,3422,883,77.53,77.53,0.00,77.53,,,,3004,0,3019,16,129,2,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310610,Belmiro Braga,3422,,,,,,1105,48.40,0.00,,,,,,,,31061011,Prefeitura Municipal de Belmiro Braga,PMBM,Local,Administração pública direta,Esgoto
310620,Belo Horizonte,2530701,2402829,242405.80,161603.87,80801.93,242405.80,2378396,106982.96,106982.96,51079,9,50978,64,6591,200,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
310630,Belo Oriente,27277,19623,1783.68,1617.32,166.36,1783.68,,,,13543,3,13456,455,635,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310630,Belo Oriente,27277,,,,,,23215,1070.00,0.00,,,,,,,,31063011,Prefeitura Municipal de Belo Oriente,PMBO,Local,Administração pública direta,Esgoto
310640,Belo Vale,7723,3363,335.85,335.85,0.00,335.85,,,,6594,8,6594,0,112,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310640,Belo Vale,7723,,,,,,7716,1300.00,1300.00,,,,,,,,31064011,Prefeitura Municipal de Belo Vale,PMBV,Local,Administração pública direta,Esgoto
310650,Berilo,11813,4447,313.26,313.26,0.00,295.18,2407,119.86,0.00,7043,9,8826,4,605,0,,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
310665,Berizal,4792,2684,192.22,83.52,108.70,192.22,,,,2708,0,2708,0,266,3,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310660,Bertópolis,4609,2677,151.38,127.79,0.00,127.79,2440,121.00,5.30,3988,4,3987,2,309,2,,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
310670,Betim,450024,398025,40224.28,40224.28,0.00,40224.28,351494,13215.60,13215.60,16137,3,16135,32,2474,53,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
310680,Bias Fortes,3282,3056,126.14,126.14,0.00,0.00,3056,60.13,0.00,5,2,14,3,14,3,,31068011,Prefeitura Municipal de Bias Fortes,PMBF,Local,Administração pública direta,Água e Esgoto
